op0,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,power
1,11,12,8,11,3,10,10,4,3,12,6,10,11,5,11,7,7,10,6,2614.79
1,8,13,9,3,4,3,3,12,9,11,10,8,8,12,10,6,10,10,7,2568.98
1,13,7,12,10,11,9,3,3,13,4,9,3,13,2,4,4,2,11,4,2584.71
1,6,3,6,9,9,6,11,4,7,2,5,4,4,7,8,2,13,6,7,2576.30
1,10,13,9,7,8,13,12,11,12,13,2,6,8,9,11,2,13,3,8,2582.94
1,4,3,4,13,2,3,3,7,8,13,8,5,4,11,5,5,10,10,2,2578.14
1,13,3,4,4,8,7,2,9,11,2,6,13,12,6,13,6,2,10,6,2569.41
1,5,8,10,3,13,7,3,5,9,13,5,11,6,8,8,2,11,11,7,2607.36
1,4,12,11,3,8,6,10,2,13,4,7,5,6,9,9,2,3,2,3,2569.39
1,11,12,4,12,4,4,2,5,9,10,5,12,2,13,5,11,9,7,2,2583.24
